name_key,Y_t1,Y_t2,delta_Y,dose,NAME
soap lake,0.63634051653822,0.7057128211408854,0.06937230460266541,2309.8039215686276,Soap Lake School District
south bend,0.85,0.8963006690279307,0.04630066902793073,1983.5526315789473,South Bend School District
south kitsap,0.8160814488811972,0.8424630809116292,0.02638163203043209,2778.2336649912813,South Kitsap School District
south whidbey,0.8613693015466724,0.9277016035688102,0.0663323020221378,4725.282485875706,South Whidbey School District
spokane,0.8256841239960946,0.8573351536814477,0.03165102968535316,3534.3694552145625,Spokane School District
stanwood camano,0.8301152821692609,0.8644850538629917,0.03436977169373079,4452.31245850852,Stanwood-Camano School District
steilacoom hist,0.9314378659383142,0.9349964200472385,0.00355855410892425,4581.858407079646,Steilacoom Hist. School District
stevenson carson,0.7803981622158549,0.8011195479220792,0.020721385706224282,2134.553283100108,Stevenson-Carson School District
sultan,0.8506523750234327,0.8305337795209302,-0.0201185955025025,2709.0724784591994,Sultan School District
sunnyside,0.8701020267939492,0.8948543397642963,0.02475231297034708,647.0242468772962,Sunnyside School District
suquamish tribal education department,0.78,0.7512857142857143,-0.028714285714285692,0.0,Suquamish Tribal Education Department
tacoma,0.8308284494659461,0.888309418545431,0.057480969079484856,5505.3371073901035,Tacoma School District
taholah,0.6103448275862069,0.5294117647058824,-0.08093306288032454,1914.4385026737968,Taholah School District
tahoma,0.9064203787922984,0.9048049474395671,-0.0016154313527313446,4684.165547552191,Tahoma School District
tekoa,0.770909090909091,0.7481172673480307,-0.022791823561060243,2227.488151658768,Tekoa School District
tenino,0.8509578065692713,0.9059270009320526,0.05496919436278125,3395.6953642384105,Tenino School District
toledo,0.8160420759475596,0.87376039329141,0.057718317343850356,1922.1635883905012,Toledo School District
tonasket,0.8880625298509616,0.8714231181671737,-0.016639411683787908,1716.4048865619545,Tonasket School District
toppenish,0.697498966731522,0.7950861402693772,0.09758717353785518,560.272417707151,Toppenish School District
toutle lake,0.8910125852874298,0.8959103692627852,0.004897783975355452,3031.298904538341,Toutle Lake School District
tukwila,0.7470081115101169,0.8034012890857326,0.05639317757561568,6004.605263157895,Tukwila School District
tumwater,0.8058432043428118,0.8927693220787631,0.08692611773595138,4677.829457364341,Tumwater School District
university place,0.8940057033583797,0.9273790982570008,0.03337339489862112,3925.7487152223994,University Place School District
vancouver,0.7841188814008788,0.8435469773257669,0.05942809592488807,3477.637955956126,Vancouver School District
vashon island,0.9113367329955367,0.9014394356334308,-0.009897297362105983,6374.055415617128,Vashon Island School District
